pathway	p-value
MSigDB:LI_WILMS_TUMOR_VS_FETAL_KIDNEY_1_UP	9.984398425243632E-18
MSigDB:ZHAN_LATE_DIFFERENTIATION_GENES_UP	1.026675626818527E-17
MSigDB:KYNG_ENVIRONMENTAL_STRESS_RESPONSE_UP	1.0730256983484625E-17
MSigDB:TSAI_DNAJB4_TARGETS_DN	1.143453618023721E-17
MSigDB:MARKEY_RB1_CHRONIC_LOF_DN	1.1545206329022494E-17
MSigDB:LI_WILMS_TUMOR_VS_FETAL_KIDNEY_2_DN	1.2537476454881855E-17
MSigDB:REACTOME_MOLECULES_ASSOCIATED_WITH_ELASTIC_FIBRES	1.4829596387998403E-17
MSigDB:REACTOME_SCAVENGING_BY_CLASS_A_RECEPTORS	1.625604119111242E-17
MSigDB:WP_GANGLIO_SPHINGOLIPID_METABOLISM	1.7302241631207112E-17
MSigDB:IIZUKA_LIVER_CANCER_PROGRESSION_L0_L1_UP	1.8404209745716586E-17
MSigDB:REACTOME_DISEASES_ASSOCIATED_WITH_N_GLYCOSYLATION_OF_PROTEINS	1.890930551971106E-17
MSigDB:WONG_ENDMETRIUM_CANCER_DN	2.1034065739658318E-17
MSigDB:WP_TYROBP_CAUSAL_NETWORK_IN_MICROGLIA	2.1304665631985327E-17
MSigDB:ABRAHAM_ALPC_VS_MULTIPLE_MYELOMA_UP	2.137629615086008E-17
MSigDB:MA_RAT_AGING_DN	2.2408537673940115E-17
MSigDB:GOUYER_TATI_TARGETS_DN	2.2774080224544397E-17
MSigDB:LIU_SMARCA4_TARGETS	2.6972830447038215E-17
MSigDB:AZARE_STAT3_TARGETS	3.033883553966956E-17
MSigDB:WP_SPHINGOLIPID_METABOLISM_IN_SENESCENCE	3.0565170692652665E-17
MSigDB:WP_OVERVIEW_OF_NANOPARTICLE_EFFECTS	3.103082026460969E-17
MSigDB:WP_GLYCOSYLATION_AND_RELATED_CONGENITAL_DEFECTS	3.1459226305837265E-17
MSigDB:SWEET_KRAS_TARGETS_UP	3.1512620735741307E-17
MSigDB:SABATES_COLORECTAL_ADENOMA_DN	3.248625223249325E-17
MSigDB:WP_MATRIX_METALLOPROTEINASES	3.278959463770793E-17
MSigDB:GOLUB_ALL_VS_AML_DN	3.359444591712127E-17
MSigDB:REACTOME_ACTIVATION_OF_MATRIX_METALLOPROTEINASES	3.415873255893203E-17
MSigDB:LIU_PROSTATE_CANCER_DN	3.4272358851668037E-17
MSigDB:HALLMARK_KRAS_SIGNALING_UP	3.4830160122387695E-17
MSigDB:NABA_ECM_REGULATORS	3.874388972384053E-17
MSigDB:REACTOME_COLLAGEN_DEGRADATION	3.984968196823068E-17
MSigDB:KEGG_HEMATOPOIETIC_CELL_LINEAGE	4.1966854459611674E-17
MSigDB:NADERI_BREAST_CANCER_PROGNOSIS_DN	4.7570916248071516E-17
MSigDB:MURAKAMI_UV_RESPONSE_1HR_DN	4.904118744836849E-17
MSigDB:BURTON_ADIPOGENESIS_PEAK_AT_8HR	5.1393535020388806E-17
MSigDB:WP_LUNG_FIBROSIS	5.1926080966634103E-17
MSigDB:FEVR_CTNNB1_TARGETS_UP	5.314448572521347E-17
MSigDB:LINDGREN_BLADDER_CANCER_HIGH_RECURRENCE	5.554795494637497E-17
MSigDB:SAMOLS_TARGETS_OF_KHSV_MIRNAS_DN	5.865004068027619E-17
MSigDB:KINSEY_TARGETS_OF_EWSR1_FLII_FUSION_DN	6.885107156432995E-17
MSigDB:PID_INTEGRIN_A9B1_PATHWAY	8.768860605368296E-17
MSigDB:KATSANOU_ELAVL1_TARGETS_UP	8.812213511745304E-17
MSigDB:PID_AMB2_NEUTROPHILS_PATHWAY	8.922715140186055E-17
MSigDB:REACTOME_ELASTIC_FIBRE_FORMATION	9.649149739760111E-17
MSigDB:PASQUALUCCI_LYMPHOMA_BY_GC_STAGE_UP	1.0245373161738682E-16
MSigDB:KEGG_LYSOSOME	1.0533747962522039E-16
MSigDB:RIGGI_EWING_SARCOMA_PROGENITOR_DN	1.0871734131882292E-16
MSigDB:BROWNE_HCMV_INFECTION_18HR_DN	1.2386688499074821E-16
MSigDB:MIKKELSEN_ES_ICP_WITH_H3K4ME3_AND_H3K27ME3	1.348255407613526E-16
MSigDB:MIKKELSEN_DEDIFFERENTIATED_STATE_DN	1.5772343040486733E-16
MSigDB:KYNG_DNA_DAMAGE_DN	1.67561169986936E-16
MSigDB:REACTOME_EARLY_SARS_COV_2_INFECTION_EVENTS	1.7410401410103544E-16
MSigDB:SESTO_RESPONSE_TO_UV_C8	1.9449148538821195E-16
MSigDB:LIAN_LIPA_TARGETS_6M	2.0069175653758892E-16
MSigDB:CHEN_LVAD_SUPPORT_OF_FAILING_HEART_DN	2.0885669201819912E-16
MSigDB:JEON_SMAD6_TARGETS_UP	2.1977383789018213E-16
MSigDB:SEAVEY_EPITHELIOID_HEMANGIOENDOTHELIOMA	2.2350398854263426E-16
MSigDB:BOQUEST_STEM_CELL_DN	2.294368138924464E-16
MSigDB:HUTTMANN_B_CLL_POOR_SURVIVAL_UP	2.804875763083038E-16
MSigDB:REACTOME_SYNTHESIS_OF_GDP_MANNOSE	3.331349210485544E-16
MSigDB:HAEGERSTRAND_RESPONSE_TO_IMATINIB	3.574206645138279E-16
MSigDB:CHEN_ETV5_TARGETS_SERTOLI	3.7157744952545094E-16
MSigDB:ICHIBA_GRAFT_VERSUS_HOST_DISEASE_35D_UP	3.9740213159729495E-16
MSigDB:GAUSSMANN_MLL_AF4_FUSION_TARGETS_F_UP	4.0824891428264813E-16
MSigDB:ONDER_CDH1_SIGNALING_VIA_CTNNB1	4.196153994450513E-16
MSigDB:GILDEA_METASTASIS	4.3080606868243067E-16
MSigDB:HOLLERN_SOLID_NODULAR_BREAST_TUMOR_DN	5.318576113822263E-16
MSigDB:BRUNO_HEMATOPOIESIS	5.793567158086319E-16
MSigDB:REACTOME_REGULATION_OF_INSULIN_LIKE_GROWTH_FACTOR_IGF_TRANSPORT_AND_UPTAKE_BY_INSULIN_LIKE_GROWTH_FACTOR_BINDING_PROTEINS_IGFBPS	6.531092676289368E-16
MSigDB:WP_CCL18_SIGNALING_PATHWAY	7.404292310508366E-16
MSigDB:FULCHER_INFLAMMATORY_RESPONSE_LECTIN_VS_LPS_UP	7.62211157180828E-16
MSigDB:KUMAR_TARGETS_OF_MLL_AF9_FUSION	7.826809597828433E-16
MSigDB:FLORIO_NEOCORTEX_BASAL_RADIAL_GLIA_UP	8.1884936717728075E-16
MSigDB:SMID_BREAST_CANCER_NORMAL_LIKE_UP	8.39514995258919E-16
MSigDB:HALLMARK_COAGULATION	9.106299565415511E-16
MSigDB:PILON_KLF1_TARGETS_UP	9.227344147361967E-16
MSigDB:BROWNE_HCMV_INFECTION_48HR_DN	9.282791221311747E-16
MSigDB:WINZEN_DEGRADED_VIA_KHSRP	9.506401911697983E-16
MSigDB:MIZUKAMI_HYPOXIA_UP	1.0058676355579344E-15
MSigDB:PAPASPYRIDONOS_UNSTABLE_ATEROSCLEROTIC_PLAQUE_UP	1.0103008405335592E-15
MSigDB:HESS_TARGETS_OF_HOXA9_AND_MEIS1_DN	1.032965729292236E-15
MSigDB:HADDAD_T_LYMPHOCYTE_AND_NK_PROGENITOR_DN	1.0635461150157374E-15
MSigDB:YAMASHITA_METHYLATED_IN_PROSTATE_CANCER	1.0994619978055536E-15
MSigDB:YAO_TEMPORAL_RESPONSE_TO_PROGESTERONE_CLUSTER_16	1.1110910295406698E-15
MSigDB:ZHU_CMV_24_HR_DN	1.197296627660364E-15
MSigDB:REACTOME_MATURATION_OF_SARS_COV_1_SPIKE_PROTEIN	1.374033557717996E-15
MSigDB:SENESE_HDAC2_TARGETS_DN	1.4732408071191142E-15
MSigDB:CREIGHTON_ENDOCRINE_THERAPY_RESISTANCE_3	1.5194161098043697E-15
MSigDB:WANG_METASTASIS_OF_BREAST_CANCER_ESR1_DN	1.5597701457857884E-15
MSigDB:VETTER_TARGETS_OF_PRKCA_AND_ETS1_UP	1.5613941465224222E-15
MSigDB:REACTOME_POST_TRANSLATIONAL_MODIFICATION_SYNTHESIS_OF_GPI_ANCHORED_PROTEINS	1.5968324311949877E-15
MSigDB:HAN_JNK_SINGALING_DN	1.7272653108116982E-15
MSigDB:BERENJENO_TRANSFORMED_BY_RHOA_FOREVER_UP	1.7959792879296355E-15
MSigDB:BROWNE_HCMV_INFECTION_24HR_DN	1.9422470749954133E-15
MSigDB:XU_HGF_SIGNALING_NOT_VIA_AKT1_48HR_UP	1.976912303571233E-15
MSigDB:WP_INFLAMMATORY_RESPONSE_PATHWAY	2.1231425875577836E-15
MSigDB:BARIS_THYROID_CANCER_DN	2.199251813644488E-15
MSigDB:MIZUKAMI_HYPOXIA_DN	2.2856821082983175E-15
MSigDB:SAUL_SEN_MAYO	2.300823393846821E-15
MSigDB:SAGIV_CD24_TARGETS_DN	2.3357044429677184E-15
MSigDB:KIM_MYCN_AMPLIFICATION_TARGETS_DN	2.381850759088261E-15
MSigDB:HUANG_GATA2_TARGETS_UP	2.593732897901845E-15
MSigDB:PHONG_TNF_RESPONSE_VIA_P38_PARTIAL	2.7267739896470857E-15
MSigDB:NABA_ECM_GLYCOPROTEINS	2.727082362275402E-15
MSigDB:KONDO_PROSTATE_CANCER_WITH_H3K27ME3	2.9111339761599337E-15
MSigDB:DAVICIONI_MOLECULAR_ARMS_VS_ERMS_DN	3.2202104010288823E-15
MSigDB:ELVIDGE_HIF1A_AND_HIF2A_TARGETS_DN	3.2685626551327617E-15
MSigDB:KORKOLA_YOLK_SAC_TUMOR	3.3618033155493037E-15
MSigDB:MAINA_VHL_TARGETS_DN	3.4429723321525572E-15
MSigDB:WP_OSTEOBLAST_SIGNALING	3.4539064235467376E-15
MSigDB:ZHOU_INFLAMMATORY_RESPONSE_LIVE_UP	3.4831107536341037E-15
MSigDB:BOYLAN_MULTIPLE_MYELOMA_D_DN	3.822290238126217E-15
MSigDB:PID_SYNDECAN_2_PATHWAY	3.822988994520481E-15
MSigDB:LEE_LIVER_CANCER_MYC_E2F1_UP	3.833188619851791E-15
MSigDB:NUYTTEN_EZH2_TARGETS_UP	4.005284951620418E-15
MSigDB:VALK_AML_CLUSTER_12	4.134926214831658E-15
MSigDB:ZHENG_FOXP3_TARGETS_UP	4.163137304280342E-15
MSigDB:ABBUD_LIF_SIGNALING_2_UP	4.197106173101888E-15
MSigDB:REACTOME_IMMUNOREGULATORY_INTERACTIONS_BETWEEN_A_LYMPHOID_AND_A_NON_LYMPHOID_CELL	4.668480263069682E-15
MSigDB:AGARWAL_AKT_PATHWAY_TARGETS	4.8335643270486824E-15
MSigDB:WP_SPINAL_CORD_INJURY	5.092911838920912E-15
MSigDB:NAKAMURA_CANCER_MICROENVIRONMENT_UP	5.158765626175226E-15
MSigDB:KEGG_ECM_RECEPTOR_INTERACTION	5.636322260226526E-15
MSigDB:WP_EXTRACELLULAR_VESICLES_IN_THE_CROSSTALK_OF_CARDIAC_CELLS	6.2161138789670735E-15
MSigDB:VANHARANTA_UTERINE_FIBROID_UP	6.461528671155467E-15
MSigDB:VERHAAK_AML_WITH_NPM1_MUTATED_UP	6.4988104095806505E-15
MSigDB:ROZANOV_MMP14_TARGETS_SUBSET	6.532871791614562E-15
MSigDB:KEGG_STARCH_AND_SUCROSE_METABOLISM	7.204310365222727E-15
MSigDB:WP_MIR5093P_ALTERATION_OF_YAP1ECM_AXIS	7.24857745538817E-15
MSigDB:XU_HGF_SIGNALING_NOT_VIA_AKT1_6HR	7.331183346631452E-15
MSigDB:BILD_HRAS_ONCOGENIC_SIGNATURE	8.113971761853977E-15
MSigDB:SWEET_LUNG_CANCER_KRAS_DN	8.136833127706495E-15
MSigDB:STEARMAN_LUNG_CANCER_EARLY_VS_LATE_DN	8.952073216346165E-15
MSigDB:ELVIDGE_HIF1A_TARGETS_DN	9.674646068759442E-15
MSigDB:HALLMARK_IL2_STAT5_SIGNALING	1.1381510336589381E-14
MSigDB:ROSS_AML_WITH_CBFB_MYH11_FUSION	1.1825576113676644E-14
MSigDB:MARKEY_RB1_ACUTE_LOF_DN	1.2084294323103813E-14
MSigDB:COLIN_PILOCYTIC_ASTROCYTOMA_VS_GLIOBLASTOMA_DN	1.364547604651451E-14
MSigDB:NELSON_RESPONSE_TO_ANDROGEN_DN	1.398348575626846E-14
MSigDB:SCHRAETS_MLL_TARGETS_UP	1.4582448035779456E-14
MSigDB:ZHU_CMV_ALL_DN	1.5606492785588517E-14
MSigDB:CUI_TCF21_TARGETS_2_DN	1.6196303232960154E-14
MSigDB:MIKKELSEN_MEF_LCP_WITH_H3K4ME3	1.627534429370042E-14
MSigDB:REACTOME_COLLAGEN_FORMATION	1.7726958341222995E-14
MSigDB:BIOCARTA_BLYMPHOCYTE_PATHWAY	1.833160613105275E-14
MSigDB:CHIARADONNA_NEOPLASTIC_TRANSFORMATION_KRAS_DN	1.8841317747621032E-14
MSigDB:CORRE_MULTIPLE_MYELOMA_DN	2.1054100357350604E-14
MSigDB:SANA_TNF_SIGNALING_DN	2.118348155845274E-14
MSigDB:MORI_MATURE_B_LYMPHOCYTE_UP	2.1234223222916414E-14
MSigDB:MURATA_VIRULENCE_OF_H_PILORI	2.1564652239442657E-14
MSigDB:BOYAULT_LIVER_CANCER_SUBCLASS_G2	2.35414203365511E-14
MSigDB:CLASPER_LYMPHATIC_VESSELS_DURING_METASTASIS_UP	2.4196177736206754E-14
MSigDB:ELVIDGE_HYPOXIA_BY_DMOG_UP	2.8373868511788763E-14
MSigDB:REACTOME_METABOLISM_OF_FAT_SOLUBLE_VITAMINS	2.935310105371972E-14
MSigDB:GROSS_HYPOXIA_VIA_ELK3_AND_HIF1A_UP	2.9370253930414324E-14
MSigDB:JOSEPH_RESPONSE_TO_SODIUM_BUTYRATE_DN	3.036272169634835E-14
MSigDB:MAHADEVAN_IMATINIB_RESISTANCE_DN	3.192777430093105E-14
MSigDB:SMID_BREAST_CANCER_BASAL_DN	3.2976089885641194E-14
MSigDB:PID_AVB3_INTEGRIN_PATHWAY	3.347991834272567E-14
MSigDB:JAATINEN_HEMATOPOIETIC_STEM_CELL_DN	3.502509739410156E-14
MSigDB:CROONQUIST_STROMAL_STIMULATION_UP	3.775234246819425E-14
MSigDB:REACTOME_TNFR1_MEDIATED_CERAMIDE_PRODUCTION	4.1213333452918463E-14
MSigDB:BIOCARTA_RECK_PATHWAY	4.1475894826691536E-14
MSigDB:PECE_MAMMARY_STEM_CELL_DN	4.4352945993678127E-14
MSigDB:MARCHINI_TRABECTEDIN_RESISTANCE_DN	4.587523952566261E-14
MSigDB:HOELZEL_NF1_TARGETS_DN	4.7157476425651205E-14
MSigDB:FRASOR_RESPONSE_TO_ESTRADIOL_DN	4.847434451055313E-14
MSigDB:CARRILLOREIXACH_HEPATOBLASTOMA_VS_NORMAL_HYPOMETHYLATED_AND_UP	4.987058855808894E-14
MSigDB:MARTENS_TRETINOIN_RESPONSE_UP	4.996608939514962E-14
MSigDB:ELVIDGE_HYPOXIA_UP	5.069103688421845E-14
MSigDB:GALIE_TUMOR_ANGIOGENESIS	5.0945730153694596E-14
MSigDB:LEE_NEURAL_CREST_STEM_CELL_UP	5.3813160169542243E-14
MSigDB:CHIARADONNA_NEOPLASTIC_TRANSFORMATION_KRAS_CDC25_DN	6.368288653492537E-14
MSigDB:VART_KSHV_INFECTION_ANGIOGENIC_MARKERS_DN	7.87536299828277E-14
MSigDB:LU_TUMOR_ENDOTHELIAL_MARKERS_UP	7.932015241883036E-14
MSigDB:HINATA_NFKB_TARGETS_FIBROBLAST_UP	8.334378107411855E-14
MSigDB:NUTT_GBM_VS_AO_GLIOMA_UP	8.620874109009178E-14
MSigDB:AMIT_EGF_RESPONSE_480_HELA	8.69171646138509E-14
MSigDB:HINATA_NFKB_TARGETS_KERATINOCYTE_UP	8.898545156690473E-14
MSigDB:DAVICIONI_TARGETS_OF_PAX_FOXO1_FUSIONS_UP	8.97430137905274E-14
MSigDB:REACTOME_DISEASES_OF_CARBOHYDRATE_METABOLISM	1.0517753210533477E-13
MSigDB:STREICHER_LSM1_TARGETS_DN	1.0837395545787534E-13
MSigDB:TURASHVILI_BREAST_DUCTAL_CARCINOMA_VS_LOBULAR_NORMAL_UP	1.1172175467467295E-13
MSigDB:REACTOME_ASSEMBLY_OF_COLLAGEN_FIBRILS_AND_OTHER_MULTIMERIC_STRUCTURES	1.1212727084511408E-13
MSigDB:ISSAEVA_MLL2_TARGETS	1.1375108490374382E-13
MSigDB:ALONSO_METASTASIS_EMT_UP	1.1781532627679147E-13
MSigDB:HORIUCHI_WTAP_TARGETS_UP	1.2408071190835507E-13
MSigDB:VANASSE_BCL2_TARGETS_DN	1.3193925220348353E-13
MSigDB:ZHONG_SECRETOME_OF_LUNG_CANCER_AND_FIBROBLAST	1.3394317267721322E-13
MSigDB:HALLMARK_COMPLEMENT	1.4176200003731641E-13
MSigDB:LINDSTEDT_DENDRITIC_CELL_MATURATION_D	1.447606428688455E-13
MSigDB:REACTOME_DIGESTION_OF_DIETARY_CARBOHYDRATE	1.4672429874778627E-13
MSigDB:WP_NEOLACTO_SERIES_SPHINGOLIPID_METABOLISM	1.5710076690774866E-13
MSigDB:HIRSCH_CELLULAR_TRANSFORMATION_SIGNATURE_UP	1.6204056709647485E-13
MSigDB:ZHAN_MULTIPLE_MYELOMA_MF_UP	1.66717534285178E-13
MSigDB:FLECHNER_BIOPSY_KIDNEY_TRANSPLANT_REJECTED_VS_OK_UP	1.7103787193690852E-13
MSigDB:WP_CHRONIC_HYPERGLYCEMIA_IMPAIRMENT_OF_NEURON_FUNCTION	1.7592420890725423E-13
MSigDB:ODONNELL_TARGETS_OF_MYC_AND_TFRC_UP	1.773599107370978E-13
MSigDB:FARMER_BREAST_CANCER_CLUSTER_4	1.7877822401928788E-13
MSigDB:TSAI_RESPONSE_TO_RADIATION_THERAPY	1.8948090574890496E-13
MSigDB:KEGG_FRUCTOSE_AND_MANNOSE_METABOLISM	1.9598733519734815E-13
MSigDB:GRAHAM_CML_DIVIDING_VS_NORMAL_QUIESCENT_DN	2.1333042728474258E-13
MSigDB:HAN_SATB1_TARGETS_DN	2.3085391994938337E-13
MSigDB:SENESE_HDAC1_AND_HDAC2_TARGETS_UP	2.313706356007188E-13
MSigDB:VANDESLUIS_COMMD1_TARGETS_GROUP_2_UP	2.34463079493528E-13
MSigDB:GOUYER_TATI_TARGETS_UP	2.5057825812399503E-13
MSigDB:LUND_SILENCED_BY_METHYLATION	2.6153850806180586E-13
MSigDB:BAELDE_DIABETIC_NEPHROPATHY_DN	2.6880653155756287E-13
MSigDB:IVANOVA_HEMATOPOIESIS_MATURE_CELL	2.8304268950623096E-13
MSigDB:MUELLER_METHYLATED_IN_GLIOBLASTOMA	2.8422410583610907E-13
MSigDB:BOYLAN_MULTIPLE_MYELOMA_PCA1_UP	2.9416846816449963E-13
MSigDB:MIYAGAWA_TARGETS_OF_EWSR1_ETS_FUSIONS_UP	3.203340874640208E-13
MSigDB:GAJATE_RESPONSE_TO_TRABECTEDIN_UP	3.512483627876632E-13
MSigDB:BEGUM_TARGETS_OF_PAX3_FOXO1_FUSION_DN	3.694531286424857E-13
MSigDB:MUELLER_COMMON_TARGETS_OF_AML_FUSIONS_DN	3.8823638653064525E-13
MSigDB:MARSON_FOXP3_TARGETS_UP	4.017362551762154E-13
MSigDB:JAEGER_METASTASIS_UP	4.1301528703500963E-13
MSigDB:HOSHIDA_LIVER_CANCER_SURVIVAL_UP	4.1799258418763046E-13
MSigDB:TSENG_ADIPOGENIC_POTENTIAL_DN	4.367787040931922E-13
MSigDB:MCBRYAN_PUBERTAL_TGFB1_TARGETS_UP	4.4692420009490987E-13
MSigDB:REACTOME_MET_INTERACTS_WITH_TNS_PROTEINS	4.494561431898886E-13
MSigDB:HOFFMANN_PRE_BI_TO_LARGE_PRE_BII_LYMPHOCYTE_DN	4.5172765558646543E-13
MSigDB:GROSS_HIF1A_TARGETS_DN	4.5469540962825035E-13
MSigDB:JOHANSSON_BRAIN_CANCER_EARLY_VS_LATE_DN	4.640621023863517E-13
MSigDB:SEMENZA_HIF1_TARGETS	4.755688213274566E-13
MSigDB:QI_HYPOXIA	4.851905991821321E-13
MSigDB:HOWLIN_CITED1_TARGETS_1_DN	4.919650915816003E-13
MSigDB:NAKAMURA_ADIPOGENESIS_EARLY_DN	5.134589284455121E-13
MSigDB:REACTOME_PLATELET_ADHESION_TO_EXPOSED_COLLAGEN	5.476192804683732E-13
MSigDB:REACTOME_REGULATION_OF_TLR_BY_ENDOGENOUS_LIGAND	5.596127975328332E-13
MSigDB:DAUER_STAT3_TARGETS_UP	5.756936963389219E-13
MSigDB:REACTOME_RUNX3_REGULATES_IMMUNE_RESPONSE_AND_CELL_MIGRATION	6.107920313530552E-13
MSigDB:VALK_AML_CLUSTER_9	6.187940959811057E-13
MSigDB:FRIDMAN_SENESCENCE_UP	6.499404552560423E-13
MSigDB:REACTOME_SIGNAL_TRANSDUCTION_BY_L1	7.054383033449789E-13
MSigDB:MALIK_REPRESSED_BY_ESTROGEN	7.28139911391312E-13
MSigDB:WP_IMMUNE_INFILTRATION_IN_PANCREATIC_CANCER	7.30048484420756E-13
MSigDB:PID_FRA_PATHWAY	7.525712945198422E-13
MSigDB:PID_INTEGRIN1_PATHWAY	7.756338990843289E-13
MSigDB:CHARAFE_BREAST_CANCER_LUMINAL_VS_MESENCHYMAL_DN	7.981131619663257E-13
MSigDB:REACTOME_MET_ACTIVATES_PTK2_SIGNALING	8.016150556729578E-13
MSigDB:MISSIAGLIA_REGULATED_BY_METHYLATION_UP	8.046326057989142E-13
MSigDB:SPIELMAN_LYMPHOBLAST_EUROPEAN_VS_ASIAN_2FC_DN	8.204565112512222E-13
MSigDB:SENESE_HDAC1_AND_HDAC2_TARGETS_DN	8.276257917330437E-13
MSigDB:HOWLIN_PUBERTAL_MAMMARY_GLAND	8.378869923682094E-13
MSigDB:AZARE_NEOPLASTIC_TRANSFORMATION_BY_STAT3_UP	8.400953635454466E-13
MSigDB:AMIT_SERUM_RESPONSE_60_MCF10A	8.92730322772217E-13
MSigDB:SCHAEFFER_PROSTATE_DEVELOPMENT_AND_CANCER_BOX5_UP	9.520024442631508E-13
MSigDB:WP_PLURIPOTENT_STEM_CELL_DIFFERENTIATION_PATHWAY	9.785642729882972E-13
MSigDB:WP_DISORDERS_OF_GALACTOSE_METABOLISM	9.831685268478856E-13
MSigDB:CHEBOTAEV_GR_TARGETS_DN	1.0367237439822507E-12
MSigDB:TRAYNOR_RETT_SYNDROM_UP	1.052760331218452E-12
MSigDB:GU_PDEF_TARGETS_UP	1.0775947853105165E-12
MSigDB:PEDRIOLI_MIR31_TARGETS_DN	1.0861771353049911E-12
MSigDB:DOANE_BREAST_CANCER_CLASSES_DN	1.1226437675909831E-12
MSigDB:LIU_TARGETS_OF_VMYB_VS_CMYB_DN	1.1231610469838647E-12
MSigDB:REACTOME_INTERLEUKIN_4_AND_INTERLEUKIN_13_SIGNALING	1.1261020898463184E-12
MSigDB:SHI_SPARC_TARGETS_DN	1.1422006807411986E-12
MSigDB:ZHAN_MULTIPLE_MYELOMA_CD2_UP	1.15518180779547E-12
MSigDB:MAHAJAN_RESPONSE_TO_IL1A_UP	1.1909902512427049E-12
MSigDB:XIE_LT_HSC_S1PR3_OE_UP	1.1945063457404183E-12
MSigDB:BURTON_ADIPOGENESIS_PEAK_AT_0HR	1.2393527896631033E-12
MSigDB:WP_VITAMIN_B12_METABOLISM	1.2417467125247394E-12
MSigDB:MAHADEVAN_GIST_MORPHOLOGICAL_SWITCH	1.3141374564170017E-12
MSigDB:MEISSNER_BRAIN_HCP_WITH_H3K4ME3_AND_H3K27ME3	1.3566660593560505E-12
MSigDB:AMIT_EGF_RESPONSE_240_HELA	1.3776260146852052E-12
MSigDB:MARTINEZ_RB1_AND_TP53_TARGETS_UP	1.4007478699197342E-12
MSigDB:PLASARI_TGFB1_SIGNALING_VIA_NFIC_10HR_UP	1.4206339344643282E-12
MSigDB:TONKS_TARGETS_OF_RUNX1_RUNX1T1_FUSION_HSC_DN	1.455391655828445E-12
MSigDB:TURASHVILI_BREAST_NORMAL_DUCTAL_VS_LOBULAR_DN	1.550429825360118E-12
MSigDB:MIKKELSEN_IPS_ICP_WITH_H3K4ME3_AND_H327ME3	1.5857999861223323E-12
MSigDB:IIZUKA_LIVER_CANCER_PROGRESSION_G2_G3_DN	1.615683916022834E-12
MSigDB:BIOCARTA_THELPER_PATHWAY	1.7378900200181555E-12
MSigDB:BROWNE_HCMV_INFECTION_16HR_DN	1.7655402167475126E-12
MSigDB:WIEDERSCHAIN_TARGETS_OF_BMI1_AND_PCGF2	1.7753702670601222E-12
MSigDB:HUPER_BREAST_BASAL_VS_LUMINAL_DN	1.8944797714800465E-12
MSigDB:LEONARD_HYPOXIA	2.050694332809841E-12
MSigDB:GAVIN_FOXP3_TARGETS_CLUSTER_P2	2.108257929582918E-12
MSigDB:DANG_MYC_TARGETS_DN	2.150767437684876E-12
MSigDB:WP_MIRNA_TARGETS_IN_ECM_AND_MEMBRANE_RECEPTORS	2.2947064637885798E-12
MSigDB:MIKKELSEN_IPS_LCP_WITH_H3K4ME3	2.419444049097624E-12
MSigDB:DELACROIX_RARG_BOUND_MEF	2.429330423753604E-12
MSigDB:SENESE_HDAC1_TARGETS_UP	2.5282193534900737E-12
MSigDB:GOZGIT_ESR1_TARGETS_DN	2.537205250696078E-12
MSigDB:HOEGERKORP_CD44_TARGETS_DIRECT_UP	2.73070990840211E-12
MSigDB:OSAWA_TNF_TARGETS	2.8387731255433307E-12
MSigDB:NAKAMURA_ADIPOGENESIS_LATE_DN	3.1037176522324913E-12
MSigDB:KIM_WT1_TARGETS_UP	3.108278581749964E-12
MSigDB:PASINI_SUZ12_TARGETS_DN	3.1446424230885726E-12
MSigDB:ROSS_LEUKEMIA_WITH_MLL_FUSIONS	3.1553575883379746E-12
MSigDB:LEE_LIVER_CANCER_E2F1_UP	3.1651402571853966E-12
MSigDB:POOLA_INVASIVE_BREAST_CANCER_UP	3.2392370375895836E-12
MSigDB:WP_EXTRAFOLLICULAR_AND_FOLLICULAR_B_CELL_ACTIVATION_BY_SARSCOV2	3.3694985217557262E-12
MSigDB:HUMMEL_BURKITTS_LYMPHOMA_DN	3.5860999021830716E-12
MSigDB:WP_CELL_INTERACTIONS_OF_THE_PANCREATIC_CANCER_MICROENVIRONMENT	3.5968166489781485E-12
MSigDB:LY_AGING_OLD_UP	3.6136966248782032E-12
MSigDB:BLANCO_MELO_COVID19_SARS_COV_2_INFECTION_A594_CELLS_UP	3.728710385655327E-12
MSigDB:BIOCARTA_IL17_PATHWAY	3.82013974064719E-12
MSigDB:TAKADA_GASTRIC_CANCER_COPY_NUMBER_UP	3.831851329214166E-12
MSigDB:NAKAMURA_TUMOR_ZONE_PERIPHERAL_VS_CENTRAL_DN	4.4419605943514685E-12
MSigDB:WP_FOCAL_ADHESION_PI3KAKTMTORSIGNALING_PATHWAY	4.55218441544173E-12
MSigDB:MIKKELSEN_MCV6_ICP_WITH_H3K27ME3	4.704055813739916E-12
MSigDB:DELASERNA_MYOD_TARGETS_DN	4.816454268358526E-12
MSigDB:REN_MIF_TARGETS_DN	5.134941700506484E-12
MSigDB:MCDOWELL_ACUTE_LUNG_INJURY_UP	5.29084076932095E-12
MSigDB:WANG_MLL_TARGETS	5.4664161782899266E-12
MSigDB:REACTOME_MET_PROMOTES_CELL_MOTILITY	5.771393866254573E-12
MSigDB:BLANCO_MELO_HUMAN_PARAINFLUENZA_VIRUS_3_INFECTION_A594_CELLS_DN	5.989909329556939E-12
MSigDB:MATZUK_FERTILIZATION	6.361256209386508E-12
