	C-m	C-n	IG-n	IG-m	IG-m 44
RP11-521E5.1	0	0	0	0	0
PGBD4P4	0	0	0	0	0
GAPDHP56	0	0	0	0	0
RP11-401I19.2	0	0	0	0	0
RP11-401I19.1	0	0	0	0	0
RP11-488I4.2	0	0	0	0	0
RNU6-224P	0	0	0	0	0
RP11-314N14.1	0	0	0	0	0
RP11-758B24.1	0	0	0	0	0
RN7SL205P	0	0	0	0	0
RP11-614F17.1	0	0	0	0	0
RP11-614F17.2	0	0	0	0	0
RPL7AP28	21	48	0	0	0
RP11-745L13.2	2	4	0	0	2
RP11-789C2.1	0	0	0	0	0
RP11-1E22.1	0	0	0	0	0
ELL2P2	0	0	0	0	0
RP11-62N21.1	0	0	0	0	0
LINC01256	0	0	0	0	0
AARSP1	0	0	0	0	0
RP11-404I7.2	0	0	0	0	0
RP11-404I7.1	0	0	0	0	1
RP11-9G1.3	12	1	11	24	17
R3HDM2P1	0	1	0	0	1
PCDH10	232	102	574	130	255
RP11-285A15.1	0	0	0	0	0
RP11-427M20.1	1	0	0	0	0
PABPC4L	60	56	38	41	37
RP11-400D2.2	0	0	0	0	0
PES1P1	0	0	0	0	1
RP11-400D2.3	0	0	0	0	0
CTD-2012I17.1	0	0	0	0	0
RP11-192C21.2	0	0	0	2	1
RP11-192C21.3	0	0	0	0	0
RP11-192C21.1	0	1	1	1	0
RP11-553P9.1	15	4	3	1	0
RP11-553P9.2	0	0	0	0	0
RP11-553P9.3	0	0	0	0	0
KRT18P54	0	0	0	0	0
TARS2P1	0	1	0	0	2
RP11-780O17.1	0	0	0	0	0
LINC00613	0	0	0	0	0
RNU1-89P	0	0	0	0	0
RP11-782E2.2	0	0	0	0	3
RP11-775H9.3	0	0	0	0	0
RP11-775H9.2	0	0	0	0	1
RP11-775H9.1	0	0	0	0	0
TERF1P3	0	1	0	0	0
RP11-625B21.1	0	0	0	0	0
RP11-138I17.1	3	0	2	0	0
RP11-785F11.1	0	0	0	0	0
SERF1AP1	0	0	0	0	1
STMN1P2	0	0	0	0	0
RPS23P2	0	1	0	0	0
PCDH18	2	20	404	11	34
RP11-714L20.1	0	0	0	0	0
RP13-884E18.3	0	0	0	0	0
RP13-884E18.2	0	0	0	0	0
RP13-884E18.4	0	0	0	0	0
RP11-793B23.1	0	0	0	0	0
LINC00616	0	0	0	7	5
SLC7A11-AS1	0	2	0	1	3
SLC7A11	93	740	626	122	492
RP11-733C7.1	0	0	0	0	1
LINC00498	0	0	0	0	0
LINC00499	0	0	0	0	1
LINC00500	0	0	0	0	0
RP11-310A13.2	0	0	0	0	0
RP11-173E2.1	1	0	2	1	0
RP11-173E2.2	0	0	0	0	0
RP11-98O2.1	0	0	0	0	1
RP11-371F15.3	1	0	1	0	14
RP11-577B7.1	1	0	0	0	0
NOCT	206	465	208	141	463
ELF2	608	690	509	438	408
RNU6-531P	1	0	1	1	4
RN7SL382P	0	0	0	0	1
PPP1R14BP3	25	63	45	104	13
RN7SL311P	0	0	0	0	0
RNU6-506P	0	0	0	0	0
RNU6-1074P	0	0	0	0	0
MGARP	4	6	13	3	2
NDUFC1	254	858	737	837	196
NAA15	664	2840	2252	282	456
RNU6-1214P	0	0	0	0	0
RP11-83A24.2	138	72	53	105	180
RP11-83A24.1	8	2	0	0	4
RAB33B	164	276	193	123	87
SETD7	2070	2383	2911	1053	1441
FTH1P24	0	0	0	0	2
RP11-342I1.2	8	4	5	6	19
RP11-308D13.3	0	0	0	0	0
MGST2	351	573	339	431	170
RN7SKP237	0	0	0	0	3
H3F3AP6	6	0	0	2	0
MAML3	215	142	411	153	189
RN7SKP253	0	0	0	0	2
RP11-392B6.1	0	0	0	0	2
SCOC	1649	2234	2038	1182	778
SCOC-AS1	7	7	7	13	8
NDUFB4P9	0	0	0	0	0
RPL14P3	8	6	3	0	0
CLGN	117	504	524	173	148
MGAT4D	0	1	0	0	2
RP11-542P2.2	0	0	0	0	0
ELMOD2	298	747	640	252	167
UCP1	1	5	0	0	4
RN7SL152P	3	0	0	0	0
RP11-5K16.3	0	0	0	0	0
TBC1D9	1530	1430	870	665	868
TNRC18P1	3	1	3	6	31
RNY1P14	0	0	0	0	0
RP11-102N12.2	0	0	0	0	0
RP11-102N12.3	44	56	20	52	66
RNF150	516	129	220	230	245
ZNF330	433	1191	621	501	260
RP11-586L23.1	2	0	0	0	1
RP11-362F19.1	220	45	0	25	59
RP11-362F19.2	0	1	0	0	0
RP11-362F19.3	0	1	0	2	2
RP11-208N20.1	1	0	0	0	0
IL15	158	202	226	216	189
INPP4B	3179	444	555	1074	2600
RPL5P13	2	0	0	0	1
LSM3P4	1	0	0	0	7
RP11-223C24.2	1	0	0	0	0
RP11-223C24.1	2	0	0	0	2
RP11-284M14.1	22	4	2	10	55
RP11-54P19.1	0	0	1	0	0
USP38	1810	1114	817	736	838
RP11-364L4.3	0	0	0	0	0
GAB1	253	418	187	46	51
MIR3139	0	0	0	0	0
RP11-364L4.1	0	9	26	4	3
RPSAP36	0	0	0	0	1
RP11-58H15.3	0	0	0	0	0
SMARCA5	2665	4423	2641	1393	1820
SMARCA5-AS1	5	5	1	6	14
RP11-481K16.2	0	0	0	0	0
GUSBP5	4	28	25	5	16
FREM3	0	3	0	0	4
RP13-578N3.3	0	4	3	0	1
RP11-780M14.1	0	0	0	0	0
GYPE	0	2	0	0	0
RP11-673E1.3	0	2	1	1	1
RP11-673E1.1	0	0	2	0	2
RP11-673E1.4	0	0	0	0	2
GYPB	0	1	0	0	0
GYPA	9	0	0	0	1
RP11-361D14.2	0	0	0	0	1
KRT18P51	0	0	0	0	0
HHIP-AS1	3	103	528	77	26
HHIP	6	383	6014	158	140
HSPD1P5	0	2	1	0	1
RP13-539F13.3	0	0	0	0	1
RP13-539F13.2	0	0	0	0	0
ANAPC10	110	199	223	146	76
RN7SKP235	0	0	0	0	43
ABCE1	1446	4235	3771	882	1073
OTUD4	1325	2354	1698	560	1695
RPS23P4	0	0	0	0	0
RP11-142A22.4	0	0	0	0	3
RTN3P1	2	7	8	0	0
RP11-142A22.3	4	1	0	0	1
NMNAT1P4	0	0	0	0	0
SMAD1	537	378	212	69	209
SMAD1-AS2	0	0	0	0	5
SMAD1-AS1	0	0	0	0	0
RP11-557J10.5	0	0	0	0	0
MMAA	561	352	191	303	305
RP11-557J10.3	2	1	0	0	16
RP11-557J10.4	4	0	2	0	2
C4orf51	1	0	0	11	28
ZNF827	1000	1033	679	238	459
RP11-181K12.1	2	0	0	0	5
RP11-181K12.2	0	2	1	0	2
RP11-203B7.2	52	0	0	10	6
RP11-203B7.1	0	0	0	0	0
LINC01095	0	0	0	0	0
LSM6	45	316	150	97	28
RP11-6L6.4	1	5	0	6	0
RP11-6L6.2	3	3	4	19	2
RP11-6L6.6	0	0	0	0	0
RP11-6L6.7	1	0	0	0	1
SLC10A7	97	155	170	16	70
MIR7849	0	0	0	0	0
RNU1-44P	0	0	0	0	0
POU4F2	0	0	0	0	4
TTC29	2	94	13	0	4
RP11-292D4.2	0	0	0	0	0
RP11-292D4.1	0	2	1	0	2
RP11-292D4.3	1	0	0	0	1
RP11-292D4.4	2	1	1	0	0
MIR548G	0	0	0	0	0
RP11-364M6.1	0	0	0	0	0
PRMT5P1	0	0	0	0	1
EDNRA	151	395	2174	196	376
RP11-752L20.3	31	106	281	25	62
GTF2F2P1	0	1	0	0	3
RP11-752L20.5	0	0	0	0	0
RP11-425A23.1	1	0	0	2	0
TMEM184C	1224	1306	1269	227	378
PRMT9	229	301	274	144	102
ARHGAP10	420	617	355	305	233
RNA5SP165	0	0	0	0	0
MIR4799	1	0	0	0	0
RN7SL254P	0	0	0	0	0
RP11-315D13.1	0	0	0	0	0
NR3C2	204	158	79	155	189
RP11-76G10.1	0	0	0	3	4
RP11-655B23.1	0	0	0	0	0
RNA5SP166	0	0	0	0	1
RP11-503L19.1	0	0	0	0	0
ATP5LP4	1	0	0	0	0
RP11-360A10.1	0	0	0	0	0
CTB-191D16.1	0	0	0	0	0
RNU7-197P	0	0	0	0	0
RP11-563M4.1	1	0	0	0	6
RP11-342A1.1	1	0	0	0	2
RP11-24I21.1	1	0	0	1	4
RP11-526A4.1	3	0	0	0	6
RP11-707F2.1	2	0	0	0	2
AKIRIN2P1	0	0	0	0	2
RNA5SP167	0	0	0	0	0
RNU6-1230P	0	0	0	0	0
RP11-423J7.1	0	0	0	0	0
DCLK2	251	357	278	866	1009
RNU7-194P	0	0	0	0	1
LRBA	865	2619	1521	364	774
RP11-174F8.1	0	0	1	0	0
RP11-1336O20.2	0	0	2	3	1
MAB21L2	0	9	2	0	0
ZBTB8OSP1	0	0	0	0	0
RNA5SP168	0	0	0	0	0
AK4P6	0	0	0	0	1
RPS3A	3047	17129	11331	10845	2563
SNORD73B	0	1	0	0	0
SH3D19	516	1417	1277	140	144
SNORD73A	6	33	32	15	28
RP11-372K14.2	13	3	2	15	3
RP11-731D1.1	0	0	0	0	0
PRSS48	0	0	0	0	0
RP11-731D1.3	0	0	1	0	0
RNU6-1282P	0	0	0	0	0
RP11-731D1.4	0	7	1	0	4
RP11-610P16.1	5	1	1	0	9
FAM160A1	53	206	55	14	83
RN7SKP35	0	0	0	0	0
RP11-164P12.4	6	11	4	2	7
RP11-164P12.5	37	28	8	66	18
GATB	1083	825	500	1234	462
RP11-164P12.3	19	12	7	6	11
RP11-424M21.1	2	0	0	5	3
RP11-503L23.1	0	0	0	0	0
RP11-73G16.3	0	0	0	0	0
RP11-73G16.2	0	0	0	0	0
RP11-73G16.1	1	0	0	3	1
RNA5SP169	0	0	0	0	0
RP11-18H21.1	0	1	0	0	2
RP11-18H21.2	0	0	0	0	7
RP11-18H21.3	1	0	0	0	2
RN7SL446P	0	0	0	0	1
RP11-461L13.4	0	0	0	0	2
RP11-461L13.5	0	0	0	0	0
RP11-461L13.3	5	0	0	2	3
FBXW7	888	524	332	981	962
DEAR	0	1	0	0	1
MIR3140	0	0	0	0	0
MIR4453	91	83	103	60	131
RP11-555K12.1	1	0	0	0	3
RP11-555K12.2	0	0	0	0	0
TMEM154	364	958	482	8	28
RP11-768B22.2	0	1	0	0	0
TIGD4	27	21	12	20	29
ARFIP1	731	1150	896	316	274
RP11-529H22.1	0	0	0	1	2
RP11-206F17.2	4	4	0	0	1
FHDC1	64	258	30	32	89
RP11-285C1.2	0	0	0	0	1
TRIM2	2269	2123	227	69	159
RNU6-1196P	0	0	0	0	0
ANXA2P1	3	2	6	0	0
MND1	85	162	107	17	8
RN7SL419P	0	0	0	0	0
KIAA0922	521	485	176	331	257
RP11-153M7.3	18	15	0	0	7
RP11-153M7.1	2	0	1	0	0
TLR2	78	355	75	26	25
RNF175	8	13	0	0	1
RP11-153M7.5	0	0	0	0	0
SFRP2	22	20	1	0	2
RP11-290O12.2	2	7	0	0	0
DCHS2	149	12	6	8	22
RP11-9N12.2	0	2	0	0	0
RP11-9N12.3	0	0	0	0	0
RP11-290O12.1	0	0	0	0	0
RP11-158C21.2	1	0	0	0	0
PLRG1	1295	2213	1893	1099	671
RNU6-1285P	0	3	0	0	0
RP11-158C21.3	0	0	0	0	0
FGB	61	429	31	0	10
FGA	0	39	0	0	0
FGG	0	1	5	0	0
LRAT	3	87	4	0	1
NDUFB2P1	0	0	0	0	0
RP11-21G20.3	0	0	0	0	0
RP11-21G20.4	0	0	0	0	0
RBM46	3	4	0	0	5
RNU2-66P	0	0	0	0	0
RNU2-44P	0	0	0	0	0
AC097467.2	0	1	0	0	1
RP11-92A5.2	0	0	0	4	1
NPY2R	0	0	0	0	2
RP11-27G13.1	0	0	0	0	0
MAP9	719	845	616	194	175
YWHAEP4	0	0	0	0	0
RP11-27G13.4	0	0	0	0	0
RP11-27G13.5	0	0	0	0	0
MTCYBP17	0	0	0	0	0
MTND6P17	0	0	0	0	0
MTND5P9	0	0	0	0	0
MTND4P8	0	0	0	0	0
MTND3P3	0	0	0	0	0
MTCO3P9	0	0	0	0	0
MTATP6P9	0	0	0	0	0
MTCO2P9	0	0	0	0	0
MTCO1P9	0	1	0	0	0
MTND2P33	0	0	0	0	0
MTND1P22	0	0	0	0	0
RP13-487K5.1	0	0	0	0	0
GUCY1A3	650	193	4	7	26
RP11-588K22.2	343	26	0	2	12
GUCY1B3	224	606	110	37	41
ASIC5	1	2	0	0	1
TDO2	2	1	1	6	10
CTSO	1253	460	343	295	426
FTH1P21	0	0	0	0	0
RP11-171N4.1	0	0	0	0	1
RP11-171N4.2	0	0	0	0	7
RP11-171N4.3	0	0	0	0	3
RP11-171N4.4	0	0	0	0	6
PDGFC	687	2815	3391	520	735
RP11-154F14.2	0	0	0	0	4
RP11-154F14.3	0	0	0	0	3
RP11-612J15.1	0	0	0	0	1
RP11-612J15.3	0	0	1	5	31
RPPH1-3P	0	0	0	0	0
GLRB	261	403	398	222	130
RNU6-582P	0	0	0	0	0
GRIA2	2	0	4	26	20
RP11-392C20.1	0	0	0	0	0
RP11-364P22.1	0	0	0	0	0
RP11-364P22.2	0	1	0	0	1
RP11-312A15.1	0	0	0	0	0
RP11-364P22.3	0	0	0	0	0
RP11-312A15.2	0	0	0	0	1
RP11-312A15.3	1	0	0	14	3
RP11-597D13.1	0	0	0	0	2
RP11-597D13.2	1	0	0	0	2
FAM198B	444	47	341	845	1271
RP11-597D13.9	14	4	3	24	42
NUDT19P5	0	0	0	0	8
RP11-597D13.8	0	0	0	0	0
TMEM144	547	235	156	37	72
RP11-597D13.7	22	7	9	0	2
RXFP1	1	1	1	0	12
RNU4-79P	0	0	0	0	0
RP11-781M16.1	0	1	0	0	0
RP11-781M16.2	0	0	0	0	0
C4orf46	321	513	536	170	226
ETFDH	207	406	416	178	145
PPID	1154	841	637	448	412
FNIP2	2426	1489	579	272	684
RNU6-128P	0	0	0	0	0
C4orf45	2	4	0	0	1
RP11-815N9.2	2	4	0	1	0
FABP5P12	0	0	0	0	0
RAPGEF2	630	1158	1036	210	420
MIR3688-1	0	0	0	0	0
MIR3688-2	0	0	0	0	0
RP11-138A23.1	0	0	0	0	1
RP11-138A23.2	0	0	0	0	0
RP11-6C14.1	0	0	0	0	2
RP11-502M1.1	0	0	0	8	3
RP11-502M1.2	1	0	0	7	5
RPS14P7	0	0	0	0	1
RP11-234O6.2	0	0	0	0	0
FSTL5	0	4	18	5	10
RP11-497K21.1	0	0	0	0	2
MTHFD2P4	0	0	0	0	0
TOMM22P4	0	0	0	0	0
AC005150.1	0	0	0	0	0
RP11-580J4.1	0	0	0	0	0
MIR4454	0	0	0	0	0
RP11-563E2.2	1	3	0	0	8
NAF1	146	401	281	83	140
RP11-719L21.1	0	0	0	0	0
NPY1R	252	143	42	16	15
NPY5R	100	35	8	1	6
RPL35AP12	1	0	0	0	0
TKTL2	3	2	2	0	3
TMA16	320	476	526	250	193
MARCH1	353	259	224	659	884
RP11-218F10.3	13	18	12	10	8
RN7SKP105	0	0	0	0	4
RP11-606P2.1	0	0	0	0	2
RP11-39C10.1	1	1	2	15	22
ANP32C	0	1	0	1	4
RP11-75A5.1	0	0	0	0	0
RNU6-284P	0	0	0	0	0
RP11-294O2.1	0	0	0	0	0
LINC01207	2	0	0	0	0
RNU6-668P	0	0	0	0	0
APELA	9	0	0	25	13
TRIM60P14	0	0	0	0	0
RP11-366M4.2	0	0	0	0	0
FAM218BP	0	0	0	0	0
RP11-366M4.18	0	0	0	0	1
RP11-366M4.6	0	0	0	0	1
NACA3P	2	2	3	2	4
RP11-366M4.8	5	0	0	467	582
TRIM61	1	3	3	0	4
FAM218A	108	6	23	154	264
RP11-366M4.11	1	0	2	0	1
RP11-366M4.12	0	0	0	0	0
RP11-366M4.13	0	0	0	0	3
RP11-366M4.14	0	0	0	0	11
RP11-366M4.1	1	0	0	0	3
RP11-366M4.19	4	0	0	147	192
RP11-366M4.15	0	0	0	0	0
TRIM60	0	1	0	4	5
RP11-366M4.17	0	0	1	0	0
TRIM75P	2	0	0	0	4
TMEM192	1288	1401	948	524	404
KLHL2	740	912	456	380	388
RNU4-87P	0	0	0	0	0
RP11-668G10.2	0	1	0	0	1
MSMO1	3455	1732	3600	1059	717
CPE	1092	650	423	540	288
MIR578	0	0	0	0	0
HADHAP1	2	0	0	6	10
SCGB1D5P	0	0	0	0	0
NOL8P1	0	1	0	0	3
RP11-511B7.1	0	0	0	0	0
LINC01179	6	1	0	4	0
TLL1	142	167	5	11	95
RNA5SP170	0	0	0	0	0
RP11-217C7.1	0	0	0	0	0
SPOCK3	15	32	39	55	30
RNA5SP171	0	0	0	0	0
RP11-436A7.1	0	0	0	0	1
RN7SL776P	0	0	0	0	1
PHBP14	0	0	0	0	3
RN7SKP188	0	0	0	0	0
RP11-521F1.1	0	0	0	0	0
RP11-310I9.1	0	0	0	0	0
ANXA10	15	16	15	8	27
DDX60	219	432	288	126	2223
DDX60L	1353	732	328	323	4826
PALLD	6617	3575	4101	4525	8434
BTF3L4P4	0	0	0	0	5
RP11-610J23.1	1	0	0	0	6
RNU6-1336P	0	0	0	0	2
RPL9P16	0	0	0	0	1
RP11-635L1.3	1	1	0	2	43
RP11-635L1.2	0	10	6	7	75
CBR4	624	684	565	378	343
RNU6-853P	2	0	0	0	0
RNY4P17	1	1	0	0	0
RP11-483A20.3	0	0	0	0	2
SH3RF1	210	995	1658	163	203
RPL6P12	0	1	0	0	5
RP11-327O17.2	1	0	0	0	1
NEK1	424	867	770	164	169
CLCN3	1887	2432	2345	589	809
HPF1	166	566	563	292	67
PTGES3P3	4	0	2	0	0
RP11-205M3.1	1	0	0	0	0
RP11-205M3.3	0	0	0	0	0
RP11-6E9.5	0	0	0	1	0
RP11-6E9.4	0	0	1	0	0
MFAP3L	246	449	468	28	33
AADAT	114	313	313	42	38
APOBEC3AP1	0	0	0	0	0
RP11-654F3.1	0	0	0	0	0
LINC01612	2	0	2	1	0
RP11-789C1.2	1	0	0	0	0
RP11-796L2.1	0	0	0	0	0
HSP90AA6P	1	1	2	0	1
RP11-322J23.1	0	0	0	0	0
RP11-213L8.1	0	0	0	0	0
RNU6ATAC13P	0	0	0	0	0
RP11-344G13.1	0	0	0	0	0
RP11-344G13.2	0	0	0	0	0
RP11-384D10.1	0	0	0	0	0
MIR6082	0	0	0	0	0
RP11-717H13.1	0	0	0	0	0
RP11-97E7.1	0	0	0	0	0
RP11-97E7.2	0	0	0	0	0
GALNTL6	11	6	16	153	101
RP11-485C11.1	0	0	0	0	0
RP11-10K16.1	99	37	50	135	124
RN7SL253P	0	0	2	0	0
GALNT7	6215	3527	2381	1764	2336
MIR548T	0	0	0	0	0
RP11-798M19.3	2	5	8	0	0
HMGB2	218	3815	3183	536	252
RP11-798M19.6	26	20	26	24	26
SAP30	84	371	352	315	94
SCRG1	1	3	0	3	3
RPL5P11	0	1	0	0	1
RNU6-1096P	0	0	0	0	0
RP11-489G11.3	0	0	0	0	1
HAND2	0	2	0	2	8
HAND2-AS1	0	1	0	3	8
RP11-475B2.1	0	0	0	0	0
MORF4	0	1	1	0	1
RANP6	0	1	2	0	0
RP11-161D15.2	0	0	0	0	1
RP11-161D15.1	0	0	0	0	0
RP11-161D15.3	0	0	0	0	1
RP11-148L24.1	0	1	0	15	8
RP11-248N22.1	0	0	0	0	3
RP11-248N22.2	0	0	0	0	2
FBXO8	282	301	296	183	141
CEP44	78	264	331	63	72
RP11-51M24.1	0	0	0	0	0
MIR4276	0	0	0	0	0
HPGD	117	166	8	7	32
RP11-440I14.2	0	0	0	0	1
RP11-440I14.3	0	1	0	0	0
RP11-440I14.4	0	0	0	0	0
GLRA3	0	0	5	5	16
ADAM29	0	0	0	5	9
RP13-577H12.3	0	0	0	0	0
RP13-577H12.2	0	0	0	24	5
RP11-391J13.1	0	0	0	0	1
RP11-287F9.1	0	0	0	0	2
RP11-287F9.2	0	1	0	0	2
RP11-598D14.1	0	0	0	0	0
TSEN2P1	0	0	0	0	0
ADAM20P2	0	0	0	0	0
GPM6A	118	6	5	112	135
RP11-806K15.1	0	0	0	0	3
RP11-598O12.1	0	0	0	0	0
MARK2P4	0	0	0	0	1
WDR17	76	133	54	5	43
SPATA4	33	3	5	54	91
ASB5	282	14	0	668	1014
RP11-87F15.2	10	15	9	3	20
SPCS3	7548	4295	3469	8115	9060
RP11-313E19.1	0	0	0	0	2
RP11-313E19.2	0	0	6	0	2
VEGFC	126	189	2484	538	341
RP11-624A4.1	0	0	0	0	0
RP11-765K14.1	0	0	0	0	0
RN7SKP136	0	0	0	0	0
RP11-487E13.1	0	0	0	0	1
NEIL3	3	296	347	4	10
RP11-376O6.2	0	4	2	0	3
AGA	369	664	369	277	172
RP11-130F10.1	6	10	1	9	14
RNA5SP172	0	0	0	0	0
RP11-140M13.1	0	0	0	0	0
LINC01098	3	1	0	1	1
LINC01099	0	1	0	5	4
RNU1-45P	0	0	0	0	0
RP11-84H6.1	0	0	0	0	0
RNA5SP173	0	0	0	0	0
SNORD65	3	20	11	18	6
RP11-296L20.1	0	0	0	0	0
RP11-404J23.1	1	0	0	0	1
RP11-774G5.1	0	0	0	0	1
NDUFB5P1	0	0	0	0	0
RP11-460H9.1	0	0	0	0	0
LINC00290	0	0	0	0	0
RP11-665C14.1	0	0	0	0	0
RP11-665C14.2	0	0	0	0	0
RP11-433O3.1	0	0	0	0	0
RP11-540E16.2	0	0	0	0	0
RN7SKP13	0	0	0	0	0
AC108142.1	64	101	107	211	250
CCNHP1	0	0	0	0	0
TENM3	520	633	1019	793	1157
RP11-402C9.1	2	0	0	5	13
MIR1305	0	0	0	0	0
RNU2-34P	0	0	0	0	1
RN7SKP67	1	1	0	0	7
RP11-18D7.3	0	0	0	0	2
RP11-18D7.2	0	0	0	0	0
RP11-188P17.2	2	0	1	1	1
DCTD	928	3012	2238	530	421
RP11-335L23.2	0	0	0	0	0
FAM92A1P2	0	0	0	0	0
RP11-335L23.4	6	0	0	0	8
RP11-335L23.5	10	1	1	2	3
WWC2-AS2	23	44	17	8	20
WWC2	1262	3471	1495	270	712
WWC2-AS1	0	0	0	0	6
CLDN22	0	0	0	0	0
CLDN24	0	0	0	0	1
RP11-451F20.1	1	0	0	0	3
RP11-692E14.1	0	0	0	0	1
CDKN2AIP	432	962	500	247	230
VTI1BP2	1	0	3	4	1
RP11-367N14.2	15	27	24	12	7
ING2	277	250	194	225	84
RP11-367N14.3	10	0	4	8	0
RWDD4	222	446	504	206	121
RNU6-479P	0	0	0	0	0
TRAPPC11	723	1091	949	193	252
RNU6-335P	0	0	0	0	0
RNU6-1053P	1	7	3	0	0
RP11-499F19.3	1	0	0	0	0
STOX2	212	133	48	51	69
RP11-739P1.2	4	5	0	0	9
RP11-739P1.3	4	2	2	0	0
RP11-616K6.1	0	0	0	0	1
ENPP6	1	3	0	0	1
RP11-162O12.1	0	0	0	0	0
RN7SL28P	0	0	0	0	0
MYL12BP2	1	0	0	0	3
RP11-290F5.2	7	3	6	6	23
RP11-290F5.1	11	1	0	11	74
IRF2	419	561	408	164	355
SNORD79	0	0	0	0	4
RP11-326I11.5	32	1	7	115	163
RP11-326I11.3	70	58	40	127	423
RP11-326I11.4	19	0	1	13	20
RP11-326I11.1	1	0	0	0	0
RP11-242J7.1	24	2	0	7	4
CASP3	1406	1512	1015	950	883
PRIMPOL	42	355	307	76	92
CENPU	11	952	678	48	43
ACSL1	3298	3704	1441	1956	1952
SLED1	0	8	0	2	2
RP11-701P16.2	1	0	0	0	11
MIR3945HG	2	0	0	0	3
MIR3945	0	0	0	0	0
LINC01093	3	0	0	5	2
RP11-701P16.3	0	0	0	0	7
MIR4455	0	0	0	0	0
RP11-517M22.1	1	0	0	0	3
RP11-386B13.4	1	0	0	0	1
HELT	0	2	0	0	0
RP11-386B13.3	0	0	0	0	0
RP11-386B13.1	0	0	0	0	0
SLC25A4	978	1089	1185	2937	562
CFAP97	296	1649	1364	213	282
SNX25	230	716	1794	273	280
LRP2BP	45	40	106	103	121
RP11-714G18.1	1	3	4	3	15
ANKRD37	96	135	355	250	125
UFSP2	276	431	584	419	219
C4orf47	5	5	3	20	13
CCDC110	34	11	19	38	62
RP11-279O9.4	4	2	2	25	12
PDLIM3	1067	33	83	13463	6813
SORBS2	889	337	57	107	156
RP11-301L8.2	15	0	0	7	46
RP11-626E13.1	20	2	0	5	7
RP11-45I20.1	0	0	0	0	0
RNU4-64P	0	0	0	0	0
TLR3	459	335	271	25	729
FAM149A	193	459	45	9	12
RPSAP70	20	141	17	3	1
ORAOV1P1	3	8	0	0	0
FLJ38576	27	14	4	23	63
CYP4V2	528	519	251	62	181
KLKB1	59	18	6	63	31
F11	125	0	0	1	7
F11-AS1	14	1	0	0	1
SLC25A5P6	0	0	0	0	1
RP11-215A19.2	0	0	0	0	0
RNU6-1055P	1	0	0	0	0
MTNR1A	9	2	0	0	9
FAT1	10482	10372	15814	1371	6269
RP11-11N5.1	3	1	0	0	1
RP11-11N5.3	2	0	0	0	1
MRPS36P2	0	0	0	0	0
RP11-217E13.1	1	0	0	0	1
RP11-696F12.1	1	0	0	2	0
RP11-308K2.1	0	0	0	0	0
RP11-138B4.1	0	0	0	1	0
RP11-91J3.2	0	0	0	0	0
RP11-91J3.3	0	0	0	0	0
RP11-91J3.1	0	0	0	0	2
RP11-237D3.1	0	0	0	0	0
RP11-565A3.2	1	1	0	0	0
RP11-565A3.1	0	0	0	0	0
ADAM20P3	0	0	0	0	0
RP11-713C19.2	0	0	0	0	0
ZFP42	0	22	6	15	29
TRIML2	7	0	1	6	3
RP11-713C19.1	0	0	0	0	0
RNU6-173P	1	0	0	3	0
TRIML1	0	0	0	0	0
RP11-366H4.3	0	0	0	0	0
RP11-366H4.1	0	0	0	0	0
RP11-219G10.1	0	1	0	1	0
ICE2P1	1	1	0	0	1
LINC01060	1	4	0	0	1
RP11-756P10.1	0	0	0	0	0
RP11-756P10.7	0	0	0	0	0
RNU7-192P	0	0	0	0	0
RP11-756P10.3	6	26	11	5	4
RP11-756P10.6	82	47	13	45	9
RP11-756P10.4	0	0	0	0	0
RP11-756P10.5	0	0	0	0	0
RP11-756P10.2	0	0	0	0	0
RP11-818C3.1	0	0	0	0	3
RP11-706F1.1	0	0	0	0	0
RP11-706F1.2	0	0	0	0	0
HSP90AA4P	3	3	0	0	0
LINC01262	0	0	0	0	0
RP11-462G22.2	0	0	0	0	0
RNU1-51P	0	0	0	0	0
AF146191.4	1	7	6	0	3
LINC01596	0	0	0	0	0
FRG1	211	603	442	397	127
MLLT10P2	0	0	0	0	0
AF146191.8	1	0	0	0	3
TUBB7P	1	1	0	10	1
RNA5SP174	4	1	1	0	1
RNA5SP175	0	0	0	0	2
DUX4L9	16	0	0	21	12
FRG2	4	0	2	10	20
RARRES2P4	3	0	0	0	0
AGGF1P1	2	0	0	0	3
CLUHP4	0	0	0	0	0
DBET	0	0	0	0	5
DUX4L30	0	0	0	0	0
DUX4L8	0	0	0	0	3
DUX4L7	0	0	0	0	0
DUX4L6	0	0	0	0	0
DUX4L5	0	0	0	0	0
DUX4L4	0	0	0	0	0
DUX4L1	0	0	0	0	0
DUX4L3	0	0	0	0	0
DUX4L2	0	0	0	0	0
DUX4	0	0	0	40	11
RPL23AP84	0	0	0	0	0
ABC7-42391500H16.4	0	0	0	0	0
RP11-811I15.1	0	0	0	0	3
PLEKHG4B	84	78	3	84	97
LRRC14B	68	5	2	71	70
CTD-2083E4.7	24	2	1	143	24
CCDC127	634	728	587	894	347
CTD-2083E4.4	26	21	22	21	80
SDHA	4352	5448	2871	7082	2341
CTD-2083E4.6	4	0	1	4	23
PDCD6	1998	1981	1446	4556	1597
CTD-2083E4.5	39	3	10	11	80
AHRR	361	611	200	455	700
CTD-2228K2.2	2	1	0	0	7
CTD-2228K2.1	1	13	2	4	8
EXOC3-AS1	145	137	111	391	166
EXOC3	1272	1568	1079	2006	771
